"","employees","salaries.2014","salaries.2015","raise","got.raisw"
"51","Employee 51",44844.2725418136,44117.9114975967,-726.361044216901,FALSE
"52","Employee 52",44376.1507840827,51192.9067107849,6816.75592670217,TRUE
"53","Employee 53",44466.5088457987,41588.4203126188,-2878.08853317983,FALSE
"54","Employee 54",40717.2880903818,49418.8783643767,8701.59027399495,TRUE
"55","Employee 55",43002.6741186157,38392.8053104319,-4609.86880818382,FALSE
"56","Employee 56",47466.6583351791,50442.9819015786,2976.32356639951,TRUE
"57","Employee 57",41102.4555051699,40582.449589856,-520.005915313959,FALSE
"58","Employee 58",43923.4314346686,44060.3478730191,136.916438350454,TRUE
"59","Employee 59",42805.2851790562,51263.3815465961,8458.09636753984,TRUE
"60","Employee 60",42846.0135753267,42450.7492838893,-395.264291437343,FALSE
"61","Employee 61",48931.4882853068,50286.0023872927,1354.51410198584,TRUE
"62","Employee 62",40408.6637985893,40633.1127136946,224.448915105313,TRUE
"63","Employee 63",46761.01942081,47252.9163421132,491.896921303123,TRUE
"64","Employee 64",45574.9921430834,49184.1154173017,3609.12327421829,TRUE
"65","Employee 65",49798.500854522,57872.25876702,8073.75791249797,TRUE
"66","Employee 66",43476.8897620961,40612.4619778711,-2864.42778422497,FALSE
"67","Employee 67",45996.6864273883,54591.586382594,8594.89995520562,TRUE
"68","Employee 68",47280.0613404252,44389.9283197243,-2890.13302070089,FALSE
"69","Employee 69",46316.7474325746,54881.5696476959,8564.82221512124,TRUE
"70","Employee 70",49362.1804285794,51343.0759112816,1980.89548270218,TRUE
"71","Employee 71",45281.7606553435,55100.3112865146,9818.55063117109,TRUE
"72","Employee 72",45540.3082142584,49131.4683540259,3591.16013976745,TRUE
"73","Employee 73",49269.5373157039,49544.5032871794,274.965971475467,TRUE
"74","Employee 74",49121.6532071121,46536.4159026649,-2585.23730444722,FALSE
"75","Employee 75",42646.1873040535,47781.0795255937,5134.89222154021,TRUE
"76","Employee 76",42516.178120859,50096.7929454055,7580.6148245465,TRUE
"77","Employee 77",48281.6449832171,48059.8157318309,-221.829251386225,FALSE
"78","Employee 78",40909.3119669706,44300.0569846481,3390.74501767755,TRUE
"79","Employee 79",46124.84135665,41333.4115641192,-4791.42979253083,FALSE
"80","Employee 80",45097.0306433737,44210.1987649221,-886.83187845163,FALSE
"81","Employee 81",44794.0827719867,47428.3319152892,2634.24914330244,TRUE
"82","Employee 82",48214.8863119073,45382.6574550476,-2832.22885685973,FALSE
"83","Employee 83",40899.1102105938,36114.6457865834,-4784.46442401037,FALSE
"84","Employee 84",41947.9956710711,40772.9545701295,-1175.0411009416,FALSE
"85","Employee 85",46465.9114647657,42252.2666573059,-4213.64480745979,FALSE
"86","Employee 86",45106.4123632386,53020.4322922509,7914.01992901228,TRUE
"87","Employee 87",45237.6424148679,43838.5320978705,-1399.11031699739,FALSE
"88","Employee 88",41379.9715880305,46602.0428598858,5222.07127185538,TRUE
"89","Employee 89",40626.535564661,49942.8016296588,9316.26606499776,TRUE
"90","Employee 90",44809.948625043,41794.6064413991,-3015.34218364395,FALSE
"91","Employee 91",48303.1758433208,56053.9088142104,7750.73297088966,TRUE
"92","Employee 92",41976.2136088684,51795.6950573716,9819.48144850321,TRUE
"93","Employee 93",43228.503477294,51968.9801556524,8740.47667835839,TRUE
"94","Employee 94",41988.7346145697,38740.2576417662,-3248.47697280347,FALSE
"95","Employee 95",47926.9868228585,46810.2798424661,-1116.70698039234,FALSE
"96","Employee 96",41774.7754463926,46187.1703749057,4412.39492851309,TRUE
"97","Employee 97",40296.0039000027,43045.5115181394,2749.5076181367,TRUE
"98","Employee 98",40970.3952725977,41137.9351268988,167.53985430114,TRUE
"99","Employee 99",47882.9295630567,55489.9457166903,7607.01615363359,TRUE
"100","Employee 100",44583.1308350898,39624.3666065857,-4958.76422850415,FALSE
